dt,uv,pv_cnt,cart_users,fav_users,pay_users,orders,gmv,view_to_pay_pct
2025-06-02,2821,8211,1089,576,108,108,26686.00,3.83
2025-06-03,2846,8244,1065,595,109,109,22321.00,3.83
2025-06-04,2804,8009,1082,591,86,86,15092.00,3.07
2025-06-05,2843,8185,1057,608,111,111,35488.00,3.90
2025-06-06,2799,7940,1073,623,84,84,23789.00,3.00
2025-06-07,3035,8696,1163,649,86,86,24776.00,2.83
2025-06-08,3038,8847,1134,617,85,85,24305.00,2.80
2025-06-09,2857,8093,1058,571,83,83,20003.00,2.91
2025-06-10,2761,7890,991,576,96,96,16992.00,3.48
2025-06-11,2783,7893,1076,572,51,51,10755.00,1.83
2025-06-12,2841,8337,1077,595,71,71,23036.00,2.50
2025-06-13,2837,8067,1088,577,78,78,13876.00,2.75
2025-06-14,3056,8947,1156,623,102,102,21631.00,3.34
2025-06-15,3112,9101,1153,663,72,72,12053.00,2.31
2025-06-16,2802,8100,1092,588,71,71,14068.00,2.53
2025-06-17,2780,8046,1046,564,81,81,20033.00,2.91
2025-06-18,2761,8079,1057,552,70,70,14944.00,2.54
2025-06-19,2806,8273,1090,621,82,82,19549.00,2.92
2025-06-20,2716,7826,990,597,76,76,17101.00,2.80
2025-06-21,2983,8441,1167,600,73,73,15481.00,2.45
2025-06-22,3013,8694,1137,612,70,70,13277.00,2.32
2025-06-23,2759,8059,1029,571,59,59,14253.00,2.14
2025-06-24,2744,7815,1039,570,81,81,29363.00,2.95
2025-06-25,2777,8072,1038,631,71,71,19383.00,2.56
2025-06-26,2704,7711,1001,592,67,67,19734.00,2.48
2025-06-27,2700,7842,1043,587,70,70,16252.00,2.59
2025-06-28,2967,8662,1165,634,85,85,20697.00,2.86
2025-06-29,3009,8713,1182,641,77,77,20548.00,2.56
2025-06-30,2643,7651,1049,529,66,66,16452.00,2.50
2025-07-01,2672,7650,1024,538,61,61,12722.00,2.28
2025-07-02,2700,7830,1033,574,63,63,15987.00,2.33
2025-07-03,2628,7590,998,516,56,56,13657.00,2.13
2025-07-04,2695,7803,1013,551,67,67,17282.00,2.49
2025-07-05,2926,8312,1111,611,71,71,18763.00,2.43
2025-07-06,2853,8185,1053,580,77,77,16048.00,2.70
2025-07-07,2564,7401,993,545,72,72,11427.00,2.81
2025-07-08,2551,7399,967,519,66,66,12050.00,2.59
2025-07-09,2582,7468,1015,529,75,75,25461.00,2.90
2025-07-10,2617,7570,998,556,56,56,12583.00,2.14
2025-07-11,2590,7487,989,543,75,75,16137.00,2.90
2025-07-12,2858,8191,1080,616,67,67,15175.00,2.34
2025-07-13,2810,8205,1059,626,74,74,23751.00,2.63
2025-07-14,2556,7285,950,544,61,61,17232.00,2.39
2025-07-15,2585,7411,998,540,68,68,16169.00,2.63
2025-07-16,2535,7177,909,534,62,62,19958.00,2.45
2025-07-17,2525,7215,992,528,58,58,8915.00,2.30
2025-07-18,2488,7153,993,504,67,67,15617.00,2.69
2025-07-19,2734,7908,1040,577,55,55,17159.00,2.01
2025-07-20,2757,8031,1054,594,75,75,14372.00,2.72
2025-07-21,2469,7090,887,516,55,55,12596.00,2.23
2025-07-22,2501,7242,989,532,62,62,13799.00,2.48
2025-07-23,2471,6891,925,544,51,51,24360.00,2.06
2025-07-24,2438,7100,931,515,55,55,16499.00,2.26
2025-07-25,2506,7227,939,525,70,70,15690.00,2.79
2025-07-26,2636,7628,1021,543,62,62,16315.00,2.35
2025-07-27,2692,7568,1027,558,85,85,22128.00,3.16
2025-07-28,2396,6749,889,485,67,67,16705.00,2.80
2025-07-29,2392,6894,872,485,67,67,21014.00,2.80
2025-07-30,2420,7049,919,534,75,75,22591.00,3.10
2025-07-31,2416,7050,928,479,66,66,25978.00,2.73
2025-08-01,2358,6656,891,489,71,71,12115.31,3.01
2025-08-02,2619,7601,1004,548,73,73,12912.52,2.79
2025-08-03,2580,7372,973,533,66,66,15565.43,2.56
2025-08-04,2460,7054,926,496,62,62,10671.35,2.52
2025-08-05,2419,6822,886,518,49,49,11440.60,2.03
2025-08-06,2343,6729,892,483,52,52,18943.63,2.22
2025-08-07,2378,6868,905,481,59,59,10740.47,2.48
2025-08-08,2269,6532,853,508,55,55,11903.13,2.42
2025-08-09,2483,7183,946,538,72,72,13786.87,2.90
2025-08-10,2529,7286,967,520,62,62,20939.83,2.45
2025-08-11,2343,6891,935,511,73,73,13228.26,3.12
2025-08-12,2272,6668,849,481,63,63,12936.87,2.77
2025-08-13,2262,6396,841,442,49,49,8543.34,2.17
2025-08-14,2206,6233,823,419,74,74,18465.42,3.35
2025-08-15,2201,6286,848,439,73,73,12814.48,3.32
2025-08-16,2504,7191,953,497,61,61,18835.11,2.44
2025-08-17,2542,7259,962,501,60,60,19042.70,2.36
2025-08-18,2221,6363,832,453,58,58,14264.00,2.61
2025-08-19,2237,6588,854,475,65,65,12102.00,2.91
2025-08-20,2162,6307,824,469,53,53,15780.00,2.45
2025-08-21,2205,6309,831,437,56,56,14688.00,2.54
2025-08-22,2126,6136,806,434,57,57,17899.00,2.68
2025-08-23,2388,6947,933,496,73,73,17360.00,3.06
2025-08-24,2347,6713,918,488,63,63,15489.00,2.68
2025-08-25,2203,6325,819,494,74,74,14660.00,3.36
2025-08-26,2169,6297,813,436,55,55,11212.00,2.54
2025-08-27,2171,6450,835,442,62,62,14971.00,2.86
2025-08-28,2180,6373,825,410,65,65,21113.00,2.98
2025-08-29,2119,6067,829,408,46,46,11373.00,2.17
2025-08-30,2304,6663,859,475,78,78,17096.00,3.39
2025-08-31,2281,6557,883,472,58,58,15941.00,2.54
