cohort_wk,week_offset,act_users,cohort_size,ret_rate
0,0,7954,7954,100.00
0,1,6770,7954,85.11
0,2,6738,7954,84.71
0,3,6667,7954,83.82
0,4,6598,7954,82.95
0,5,6543,7954,82.26
0,6,6423,7954,80.75
0,7,6380,7954,80.21
0,8,6287,7954,79.04
0,9,6240,7954,78.45
0,10,6115,7954,76.88
0,11,5950,7954,74.81
0,12,5981,7954,75.19
1,0,8021,8021,100.00
1,1,6799,8021,84.76
1,2,6700,8021,83.53
1,3,6636,8021,82.73
1,4,6588,8021,82.13
1,5,6495,8021,80.97
1,6,6442,8021,80.31
1,7,6373,8021,79.45
1,8,6247,8021,77.88
1,9,6153,8021,76.71
1,10,6052,8021,75.45
1,11,6010,8021,74.93
2,0,7992,7992,100.00
2,1,6682,7992,83.61
2,2,6623,7992,82.87
2,3,6567,7992,82.17
2,4,6478,7992,81.06
2,5,6397,7992,80.04
2,6,6302,7992,78.85
2,7,6261,7992,78.34
2,8,6169,7992,77.19
2,9,6044,7992,75.63
2,10,5984,7992,74.87
3,0,7880,7880,100.00
3,1,6534,7880,82.92
3,2,6532,7880,82.89
3,3,6414,7880,81.40
3,4,6373,7880,80.88
3,5,6265,7880,79.51
3,6,6205,7880,78.74
3,7,6113,7880,77.58
3,8,5965,7880,75.70
3,9,5903,7880,74.91
4,0,7818,7818,100.00
4,1,6480,7818,82.89
4,2,6372,7818,81.50
4,3,6313,7818,80.75
4,4,6231,7818,79.70
4,5,6162,7818,78.82
4,6,6090,7818,77.90
4,7,5929,7818,75.84
4,8,5895,7818,75.40
5,0,7733,7733,100.00
5,1,6343,7733,82.03
5,2,6274,7733,81.13
5,3,6225,7733,80.50
5,4,6135,7733,79.34
5,5,6030,7733,77.98
5,6,5911,7733,76.44
5,7,5865,7733,75.84
6,0,7635,7635,100.00
6,1,6240,7635,81.73
6,2,6139,7635,80.41
6,3,6049,7635,79.23
6,4,5972,7635,78.22
6,5,5846,7635,76.57
6,6,5798,7635,75.94
7,0,7545,7545,100.00
7,1,6066,7545,80.40
7,2,6043,7545,80.09
7,3,5928,7545,78.57
7,4,5794,7545,76.79
7,5,5728,7545,75.92
8,0,7443,7443,100.00
8,1,5967,7443,80.17
8,2,5867,7443,78.83
8,3,5766,7443,77.47
8,4,5713,7443,76.76
9,0,7353,7353,100.00
9,1,5810,7353,79.02
9,2,5705,7353,77.59
9,3,5650,7353,76.84
10,0,7202,7202,100.00
10,1,5640,7202,78.31
10,2,5576,7202,77.42
11,0,7057,7057,100.00
11,1,5486,7057,77.74
12,0,7025,7025,100.00
