reg_week_no,reg_week_start,cohort_size,week_offset,retained_users,ret_rate
1,2025-06-02,417,0,341,81.77
1,2025-06-02,417,1,302,72.42
1,2025-06-02,417,2,281,67.39
1,2025-06-02,417,3,274,65.71
1,2025-06-02,417,4,270,64.75
1,2025-06-02,417,5,241,57.79
1,2025-06-02,417,6,239,57.31
1,2025-06-02,417,7,241,57.79
1,2025-06-02,417,8,217,52.04
1,2025-06-02,417,9,233,55.88
1,2025-06-02,417,10,208,49.88
1,2025-06-02,417,11,216,51.80
1,2025-06-02,417,12,218,52.28
2,2025-06-09,407,0,334,82.06
2,2025-06-09,407,1,324,79.61
2,2025-06-09,407,2,294,72.24
2,2025-06-09,407,3,271,66.58
2,2025-06-09,407,4,259,63.64
2,2025-06-09,407,5,261,64.13
2,2025-06-09,407,6,242,59.46
2,2025-06-09,407,7,247,60.69
2,2025-06-09,407,8,213,52.33
2,2025-06-09,407,9,217,53.32
2,2025-06-09,407,10,232,57.00
2,2025-06-09,407,11,225,55.28
3,2025-06-16,400,0,343,85.75
3,2025-06-16,400,1,307,76.75
3,2025-06-16,400,2,295,73.75
3,2025-06-16,400,3,273,68.25
3,2025-06-16,400,4,241,60.25
3,2025-06-16,400,5,247,61.75
3,2025-06-16,400,6,242,60.50
3,2025-06-16,400,7,246,61.50
3,2025-06-16,400,8,236,59.00
3,2025-06-16,400,9,214,53.50
3,2025-06-16,400,10,240,60.00
4,2025-06-23,402,0,314,78.11
4,2025-06-23,402,1,320,79.60
4,2025-06-23,402,2,288,71.64
4,2025-06-23,402,3,270,67.16
4,2025-06-23,402,4,250,62.19
4,2025-06-23,402,5,253,62.94
4,2025-06-23,402,6,227,56.47
4,2025-06-23,402,7,217,53.98
4,2025-06-23,402,8,208,51.74
4,2025-06-23,402,9,223,55.47
5,2025-06-30,392,0,314,80.10
5,2025-06-30,392,1,308,78.57
5,2025-06-30,392,2,284,72.45
5,2025-06-30,392,3,261,66.58
5,2025-06-30,392,4,248,63.27
5,2025-06-30,392,5,235,59.95
5,2025-06-30,392,6,219,55.87
5,2025-06-30,392,7,214,54.59
5,2025-06-30,392,8,216,55.10
6,2025-07-07,394,0,308,78.17
6,2025-07-07,394,1,303,76.90
6,2025-07-07,394,2,271,68.78
6,2025-07-07,394,3,254,64.47
6,2025-07-07,394,4,235,59.64
6,2025-07-07,394,5,239,60.66
6,2025-07-07,394,6,244,61.93
6,2025-07-07,394,7,221,56.09
7,2025-07-14,419,0,343,81.86
7,2025-07-14,419,1,332,79.24
7,2025-07-14,419,2,306,73.03
7,2025-07-14,419,3,300,71.60
7,2025-07-14,419,4,272,64.92
7,2025-07-14,419,5,250,59.67
7,2025-07-14,419,6,266,63.48
8,2025-07-21,415,0,326,78.55
8,2025-07-21,415,1,309,74.46
8,2025-07-21,415,2,298,71.81
8,2025-07-21,415,3,282,67.95
8,2025-07-21,415,4,256,61.69
8,2025-07-21,415,5,261,62.89
9,2025-07-28,436,0,349,80.05
9,2025-07-28,436,1,334,76.61
9,2025-07-28,436,2,317,72.71
9,2025-07-28,436,3,289,66.28
9,2025-07-28,436,4,256,58.72
10,2025-08-04,455,0,373,81.98
10,2025-08-04,455,1,341,74.95
10,2025-08-04,455,2,322,70.77
10,2025-08-04,455,3,320,70.33
11,2025-08-11,379,0,304,80.21
11,2025-08-11,379,1,278,73.35
11,2025-08-11,379,2,269,70.98
12,2025-08-18,160,0,127,79.38
12,2025-08-18,160,1,129,80.63
