category,orders,gmv,buyers,aov,discount_rate_pct,avg_qty,gmv_share_pct
手机数码,249,308698.03,238,1239.75,0.01,1.29,19.96
服饰鞋包,1389,240792.90,1144,173.36,0.11,1.26,15.57
家用电器,175,190305.83,173,1087.46,0.01,1.31,12.30
运动户外,394,180458.33,370,458.02,0.03,1.22,11.67
美妆个护,734,177138.20,658,241.33,0.06,1.30,11.45
家居日用,846,122494.64,755,144.79,0.12,1.28,7.92
食品生鲜,1050,96351.26,903,91.76,0.15,1.28,6.23
汽车用品,272,91659.76,262,336.98,0.04,1.32,5.93
母婴玩具,489,79163.70,451,161.89,0.19,1.30,5.12
图书文娱,701,59848.67,646,85.38,0.20,1.31,3.87
