sex,category,orders,gmv,buyers
女,服饰鞋包,954,165065.36,761
女,手机数码,99,133662.99,95
女,美妆个护,498,121192.31,444
女,运动户外,182,87574.07,169
女,家用电器,67,73746.03,67
女,家居日用,453,63874.29,407
女,母婴玩具,335,53855.27,304
女,食品生鲜,539,49978.21,469
女,汽车用品,83,28735.52,81
女,图书文娱,332,28713.52,311
男,手机数码,150,175035.04,143
男,家用电器,108,116559.80,106
男,运动户外,212,92884.26,201
男,服饰鞋包,435,75727.54,383
男,汽车用品,189,62924.24,181
男,家居日用,393,58620.35,348
男,美妆个护,236,55945.89,214
男,食品生鲜,511,46373.05,434
男,图书文娱,369,31135.15,335
男,母婴玩具,154,25308.43,147
