user_id,experiment_group,channel,sex,age,city_tier,reg_date,win_orders,win_gmv,coupon_cost
1,B,社交媒体,男,29,1,2025-07-06,0,0.00,0.00
2,A,社交媒体,女,52,2,2025-07-25,0,0.00,0.00
4,B,信息流广告,男,18,1,2025-06-27,0,0.00,0.00
5,A,信息流广告,女,41,1,2025-07-30,0,0.00,0.00
8,B,短信/邮件营销,男,32,3,2025-06-22,0,0.00,0.00
13,B,直接访问,男,25,4,2025-06-19,1,101.00,0.00
15,A,自然搜索,女,24,1,2025-07-09,0,0.00,0.00
16,B,自然搜索,女,49,3,2025-07-18,0,0.00,0.00
17,B,社交媒体,女,43,3,2025-07-27,1,47.59,8.41
19,A,信息流广告,男,53,1,2025-06-10,0,0.00,0.00
21,A,信息流广告,女,30,2,2025-07-01,0,0.00,0.00
23,A,信息流广告,男,34,3,2025-07-06,0,0.00,0.00
24,A,社交媒体,女,20,2,2025-07-01,0,0.00,0.00
35,A,自然搜索,男,19,1,2025-06-10,0,0.00,0.00
39,B,信息流广告,女,25,1,2025-07-20,0,0.00,0.00
41,A,信息流广告,女,25,1,2025-07-07,0,0.00,0.00
42,A,自然搜索,女,43,2,2025-06-05,0,0.00,0.00
47,A,自然搜索,女,38,4,2025-07-24,0,0.00,0.00
49,A,自然搜索,男,43,1,2025-07-15,0,0.00,0.00
50,B,信息流广告,女,27,2,2025-07-05,0,0.00,0.00
52,A,信息流广告,男,38,2,2025-06-28,0,0.00,0.00
54,A,信息流广告,男,40,3,2025-07-25,0,0.00,0.00
55,A,自然搜索,女,30,1,2025-07-04,0,0.00,0.00
56,B,信息流广告,女,26,2,2025-07-16,0,0.00,0.00
62,B,信息流广告,女,19,1,2025-07-07,0,0.00,0.00
63,B,自然搜索,男,19,4,2025-07-16,0,0.00,0.00
68,B,信息流广告,男,29,2,2025-07-23,0,0.00,0.00
69,B,信息流广告,女,22,1,2025-06-17,0,0.00,0.00
70,B,短信/邮件营销,女,37,1,2025-06-12,0,0.00,0.00
71,B,直接访问,女,22,4,2025-07-17,0,0.00,0.00
72,B,社交媒体,男,20,2,2025-07-01,0,0.00,0.00
74,B,社交媒体,男,39,2,2025-06-04,0,0.00,0.00
77,A,社交媒体,女,31,1,2025-06-02,0,0.00,0.00
82,B,自然搜索,女,50,3,2025-07-03,0,0.00,0.00
83,A,信息流广告,男,37,1,2025-07-22,0,0.00,0.00
84,A,信息流广告,女,19,2,2025-06-23,0,0.00,0.00
85,A,社交媒体,男,50,2,2025-07-22,0,0.00,0.00
90,B,信息流广告,女,38,2,2025-07-29,0,0.00,0.00
91,A,直接访问,女,24,2,2025-06-29,0,0.00,0.00
94,B,社交媒体,男,29,1,2025-06-27,0,0.00,0.00
96,B,信息流广告,女,40,1,2025-07-30,0,0.00,0.00
98,A,自然搜索,男,38,2,2025-07-31,0,0.00,0.00
104,A,信息流广告,女,32,4,2025-07-12,0,0.00,0.00
106,B,信息流广告,男,50,3,2025-07-15,0,0.00,0.00
110,B,自然搜索,女,25,3,2025-07-03,0,0.00,0.00
112,B,信息流广告,男,46,1,2025-07-07,0,0.00,0.00
113,B,自然搜索,女,44,3,2025-06-18,0,0.00,0.00
115,A,信息流广告,女,44,2,2025-06-23,0,0.00,0.00
121,B,自然搜索,女,29,3,2025-06-04,1,75.03,13.97
123,B,社交媒体,男,24,2,2025-07-14,0,0.00,0.00
125,B,社交媒体,女,48,2,2025-07-03,0,0.00,0.00
127,A,直接访问,女,33,2,2025-07-14,0,0.00,0.00
128,A,信息流广告,女,19,2,2025-07-27,0,0.00,0.00
130,A,直接访问,女,41,2,2025-06-28,1,106.00,0.00
131,B,信息流广告,男,37,3,2025-06-04,0,0.00,0.00
132,A,短信/邮件营销,女,19,4,2025-07-01,0,0.00,0.00
137,B,社交媒体,女,31,3,2025-07-02,0,0.00,0.00
139,B,短信/邮件营销,男,25,3,2025-06-25,0,0.00,0.00
140,B,自然搜索,男,18,1,2025-07-22,0,0.00,0.00
142,A,信息流广告,女,26,2,2025-07-26,0,0.00,0.00
145,A,信息流广告,女,47,1,2025-07-10,0,0.00,0.00
146,B,自然搜索,男,41,3,2025-06-18,0,0.00,0.00
149,A,自然搜索,男,35,4,2025-07-07,0,0.00,0.00
150,B,信息流广告,女,31,2,2025-07-04,0,0.00,0.00
155,B,短信/邮件营销,男,49,1,2025-06-22,0,0.00,0.00
168,B,信息流广告,女,61,2,2025-07-24,0,0.00,0.00
171,B,短信/邮件营销,男,19,2,2025-07-13,0,0.00,0.00
175,A,自然搜索,男,22,1,2025-07-24,0,0.00,0.00
179,A,短信/邮件营销,女,41,1,2025-06-08,0,0.00,0.00
188,A,短信/邮件营销,女,30,1,2025-07-20,0,0.00,0.00
191,A,社交媒体,女,32,3,2025-07-31,0,0.00,0.00
192,B,信息流广告,男,25,1,2025-06-27,0,0.00,0.00
195,A,自然搜索,女,41,2,2025-06-13,0,0.00,0.00
196,A,短信/邮件营销,女,43,1,2025-07-04,0,0.00,0.00
197,A,社交媒体,女,24,3,2025-07-19,0,0.00,0.00
201,B,自然搜索,男,31,2,2025-07-21,0,0.00,0.00
206,B,信息流广告,男,31,1,2025-07-21,0,0.00,0.00
207,A,自然搜索,男,40,1,2025-06-13,0,0.00,0.00
208,A,社交媒体,女,30,1,2025-06-10,1,46.00,0.00
211,B,社交媒体,女,51,2,2025-06-13,0,0.00,0.00
220,B,短信/邮件营销,男,41,2,2025-07-27,0,0.00,0.00
