user_id,prob,sex,age,city_tier,channel,device,reg_date,n_ord_feat,gmv_feat,last_pay_gap
3874,0.7683492674289392,男,40,3,社交媒体,Android,2025-06-22,1,89.0,10
925,0.7566040752900883,女,27,3,短信/邮件营销,Android,2025-06-05,1,46.0,23
1061,0.752179404450882,男,45,2,信息流广告,Android,2025-06-11,1,56.0,23
275,0.749031974044454,女,31,3,信息流广告,iOS,2025-06-25,1,29.0,11
8624,0.7400112011805858,女,31,2,社交媒体,Android,2025-07-02,1,106.0,11
3505,0.7394654489712396,女,56,1,社交媒体,iOS,2025-06-29,1,106.0,18
5190,0.7388762483248342,男,25,3,直接访问,Android,2025-07-05,1,101.0,8
4612,0.7383504118065904,男,36,4,信息流广告,Android,2025-06-22,1,58.0,35
4075,0.7374173947964049,女,29,2,社交媒体,PC/其他,2025-06-17,1,80.0,21
9156,0.7367284177548794,女,35,2,自然搜索,iOS,2025-07-15,1,28.0,1
9944,0.7360865159406156,男,59,3,直接访问,iOS,2025-07-31,1,53.0,7
8824,0.7356709208611939,女,45,2,自然搜索,Android,2025-06-24,1,58.0,26
2719,0.7328723830083128,女,53,3,社交媒体,iOS,2025-06-30,1,58.0,33
9867,0.7323437723342744,女,28,3,直接访问,Android,2025-07-07,1,80.0,25
3034,0.7314565989292734,男,32,3,直接访问,iOS,2025-07-17,1,25.0,32
602,0.7310849345002118,男,39,1,社交媒体,iOS,2025-06-10,1,67.0,33
3920,0.7296889621476432,女,49,3,社交媒体,Android,2025-07-12,1,67.0,20
8963,0.727473995430952,女,40,1,信息流广告,Android,2025-04-03,1,28.0,7
6874,0.7264064237198709,女,19,2,信息流广告,iOS,2025-06-07,1,28.0,6
6873,0.7263646890726829,男,32,2,信息流广告,iOS,2025-03-16,1,56.0,8
5070,0.7261240519544399,女,35,3,信息流广告,Android,2025-06-26,1,203.0,13
8505,0.7253035711567093,男,25,2,信息流广告,Android,2025-05-30,1,107.0,12
812,0.7248513745505649,女,48,2,短信/邮件营销,PC/其他,2025-08-01,1,58.0,31
4047,0.7244589020570226,女,31,3,信息流广告,Android,2025-04-30,1,106.0,14
1932,0.7238290186984894,男,43,3,社交媒体,Android,2025-06-18,1,46.0,4
5297,0.7234062981863437,男,22,2,信息流广告,Android,2025-07-04,1,62.0,42
4758,0.7232197875929696,女,21,1,短信/邮件营销,iOS,2025-06-04,1,36.0,15
4048,0.722766421390506,女,33,3,信息流广告,Android,2025-06-24,1,58.0,53
6742,0.7221282562673604,女,51,2,信息流广告,Android,2025-05-31,1,92.0,7
2730,0.7183036580606622,男,58,2,社交媒体,iOS,2025-06-25,1,40.0,48
3630,0.7182055297610911,女,24,4,信息流广告,Android,2025-03-31,1,101.0,15
6538,0.7177537378008934,女,40,2,短信/邮件营销,Android,2025-07-03,1,216.0,16
6202,0.7173955393102821,男,20,3,短信/邮件营销,iOS,2025-06-27,1,57.0,52
