user_id,recency_days,freq_orders,monetary_gmv,r_score,f_score,m_score,segment
8334,39,2,11428.0,3,4,5,重要保持客户
7953,1,4,6535.0,1,5,5,重要保持客户
7695,14,2,5787.0,2,4,5,重要保持客户
1572,20,2,5703.0,2,4,5,重要保持客户
2936,40,3,5459.0,3,5,5,重要保持客户
5551,35,1,5208.0,3,2,5,重要挽留客户
9399,80,1,5208.0,5,3,5,重要发展客户
9442,0,5,5030.0,1,5,5,重要保持客户
3431,68,2,4763.0,5,5,5,重要价值客户
1136,43,3,4731.0,4,5,5,重要价值客户
9211,31,1,4674.0,3,1,5,重要挽留客户
8481,30,3,4558.0,3,5,5,重要保持客户
9730,25,1,4342.0,3,1,5,重要挽留客户
3581,33,3,3908.0,3,5,5,重要保持客户
5761,9,4,3865.0,1,5,5,重要保持客户
3928,4,4,3854.0,1,5,5,重要保持客户
3043,4,4,3731.0,1,5,5,重要保持客户
7785,6,5,3636.0,1,5,5,重要保持客户
9994,9,4,3631.0,1,5,5,重要保持客户
4579,4,4,3550.0,1,5,5,重要保持客户
1862,19,3,3448.0,2,5,5,重要保持客户
847,4,5,3445.0,1,5,5,重要保持客户
5338,35,3,3362.0,3,5,5,重要保持客户
3213,14,4,3360.0,2,5,5,重要保持客户
1816,31,3,3264.0,3,5,5,重要保持客户
4882,14,3,3221.0,2,5,5,重要保持客户
7948,85,1,3213.0,5,3,5,重要发展客户
9165,68,2,3189.0,5,5,5,重要价值客户
8984,9,3,3185.0,1,5,5,重要保持客户
9763,33,3,3162.0,3,5,5,重要保持客户
2426,17,3,3079.0,2,5,5,重要保持客户
1432,1,3,3075.0,1,5,5,重要保持客户
9380,17,2,3021.0,2,4,5,重要保持客户
8801,15,3,2958.0,2,5,5,重要保持客户
1920,6,3,2918.0,1,5,5,重要保持客户
2142,11,2,2913.0,1,4,5,重要保持客户
2069,11,2,2899.0,1,4,5,重要保持客户
6299,35,3,2884.0,3,5,5,重要保持客户
3669,53,2,2859.0,4,4,5,重要价值客户
8649,41,3,2858.0,3,5,5,重要保持客户
6620,21,4,2857.0,2,5,5,重要保持客户
2499,28,3,2795.0,3,5,5,重要保持客户
5832,7,4,2789.0,1,5,5,重要保持客户
5001,63,2,2764.0,4,5,5,重要价值客户
3062,15,2,2743.0,2,4,5,重要保持客户
4348,11,3,2738.0,1,5,5,重要保持客户
1844,76,1,2731.0,5,3,5,重要发展客户
304,80,1,2731.0,5,3,5,重要发展客户
3625,37,1,2715.0,3,2,5,重要挽留客户
3401,3,5,2671.0,1,5,5,重要保持客户
6090,25,3,2649.81,2,5,5,重要保持客户
3067,10,1,2640.0,1,1,5,重要挽留客户
6145,3,2,2633.0,1,4,5,重要保持客户
4669,21,4,2621.0,2,5,5,重要保持客户
724,6,2,2613.0,1,4,5,重要保持客户
6550,66,1,2582.0,5,3,5,重要发展客户
4562,6,6,2582.0,1,5,5,重要保持客户
1173,38,1,2582.0,3,2,5,重要挽留客户
3198,50,1,2582.0,4,2,5,重要发展客户
7313,32,2,2580.0,3,4,5,重要保持客户
9331,41,3,2545.0,3,5,5,重要保持客户
966,17,3,2542.0,2,5,5,重要保持客户
2440,1,6,2537.0,1,5,5,重要保持客户
8294,11,4,2531.0,1,5,5,重要保持客户
6891,58,1,2510.0,4,2,5,重要发展客户
5975,0,3,2501.0,1,5,5,重要保持客户
9929,19,3,2499.0,2,5,5,重要保持客户
3304,2,3,2492.0,1,5,5,重要保持客户
7816,17,2,2486.0,2,4,5,重要保持客户
3789,66,1,2460.0,5,3,5,重要发展客户
5790,7,4,2440.0,1,5,5,重要保持客户
4041,0,5,2432.0,1,5,5,重要保持客户
5400,10,3,2385.0,1,5,5,重要保持客户
6872,2,6,2368.0,1,5,5,重要保持客户
7646,42,3,2341.0,3,5,5,重要保持客户
3636,29,3,2284.0,3,5,5,重要保持客户
9804,8,4,2281.0,1,5,5,重要保持客户
6612,0,4,2274.0,1,5,5,重要保持客户
3648,13,3,2242.0,2,5,5,重要保持客户
4445,23,2,2241.0,2,4,5,重要保持客户
9073,84,1,2238.0,5,3,5,重要发展客户
7115,14,2,2218.0,2,4,5,重要保持客户
4365,36,3,2217.0,3,5,5,重要保持客户
996,43,2,2216.0,4,4,5,重要价值客户
6417,11,5,2213.0,1,5,5,重要保持客户
9019,21,4,2194.0,2,5,5,重要保持客户
3600,61,2,2181.0,4,5,5,重要价值客户
6439,14,4,2180.0,2,5,5,重要保持客户
3318,28,2,2172.0,3,4,5,重要保持客户
5394,62,2,2169.0,4,5,5,重要价值客户
