wk,week_start,uv,pay_users,orders,gmv,view_to_pay_pct
1,2025-06-02,7954,667,669,172457.0,8.39
2,2025-06-09,8021,553,553,118346.0,6.89
3,2025-06-16,7992,522,523,114453.0,6.53
4,2025-06-23,7880,510,510,140230.0,6.47
5,2025-06-30,7818,461,461,110911.0,5.9
6,2025-07-07,7733,485,485,116584.0,6.27
7,2025-07-14,7635,446,446,109422.0,5.84
8,2025-07-21,7545,440,440,121387.0,5.83
9,2025-07-28,7443,485,485,126881.26,6.52
10,2025-08-04,7353,411,411,98425.88,5.59
11,2025-08-11,7202,453,453,103866.18,6.29
12,2025-08-18,7057,424,425,107582.0,6.01
13,2025-08-25,7025,438,438,106366.0,6.23
